YYYYMMDD,hhmmss,unixtimestamp,gride_energy_import,grid_energy_export,grid_power,ev_energy_consumption_,ev_power_consumption,pv_energy_production,pv_power_production,hp_energy_consumption,hp_power_consumption
20150708,000720,1436306840000,2782.650,8614.410,0.158,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000725,1436306845000,2782.650,8614.410,0.158,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000730,1436306850000,2782.650,8614.410,0.159,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000735,1436306855000,2782.650,8614.410,0.158,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000740,1436306860000,2782.650,8614.410,0.159,693.270,0.017,10250.66,0.000,1887.912,0.039
20150708,000745,1436306865000,2782.650,8614.410,0.159,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000750,1436306870000,2782.650,8614.410,0.160,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000755,1436306875000,2782.660,8614.410,0.158,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000800,1436306880000,2782.660,8614.410,0.158,693.270,0.016,10250.66,0.000,1887.912,0.038
20150708,000805,1436306885000,2782.660,8614.410,0.158,693.270,0.017,10250.66,0.000,1887.912,0.038
20150708,000810,1436306890000,2782.660,8614.410,0.158,693.270,0.017,10250.66,0.000,1887.913,0.038
20150708,000815,1436306895000,2782.660,8614.410,0.159,693.270,0.018,10250.66,0.000,1887.913,0.038
20150708,000820,1436306900000,2782.660,8614.410,0.157,693.270,0.017,10250.66,0.000,1887.913,0.038
20150708,000825,1436306905000,2782.660,8614.410,0.157,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000830,1436306910000,2782.660,8614.410,0.157,693.270,0.017,10250.66,0.000,1887.913,0.038
20150708,000835,1436306915000,2782.660,8614.410,0.158,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000840,1436306920000,2782.660,8614.410,0.156,693.270,0.017,10250.66,0.000,1887.913,0.038
20150708,000845,1436306925000,2782.660,8614.410,0.156,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000850,1436306930000,2782.660,8614.410,0.156,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000855,1436306935000,2782.660,8614.410,0.155,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000900,1436306940000,2782.660,8614.410,0.155,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000905,1436306945000,2782.660,8614.410,0.155,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000910,1436306950000,2782.660,8614.410,0.155,693.270,0.017,10250.66,0.000,1887.913,0.038
20150708,000915,1436306955000,2782.660,8614.410,0.155,693.270,0.016,10250.66,0.000,1887.913,0.038
20150708,000920,1436306960000,2782.660,8614.410,0.155,693.280,0.016,10250.66,0.000,1887.913,0.038
20150708,000925,1436306965000,2782.660,8614.410,0.155,693.280,0.016,10250.66,0.000,1887.913,0.038
20150708,000930,1436306970000,2782.660,8614.410,0.155,693.280,0.016,10250.66,0.000,1887.913,0.038
20150708,000935,1436306975000,2782.660,8614.410,0.155,693.280,0.017,10250.66,0.000,1887.913,0.038
20150708,000940,1436306980000,2782.660,8614.410,0.155,693.280,0.017,10250.66,0.000,1887.913,0.038
20150708,000945,1436306985000,2782.660,8614.410,0.155,693.280,0.017,10250.66,0.000,1887.914,0.038
20150708,000950,1436306990000,2782.660,8614.410,0.155,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,000955,1436306995000,2782.660,8614.410,0.155,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001000,1436307000000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001005,1436307005000,2782.660,8614.410,0.154,693.280,0.016,10250.66,0.000,1887.914,0.038
20150708,001010,1436307010000,2782.660,8614.410,0.155,693.280,0.017,10250.66,0.000,1887.914,0.038
20150708,001015,1436307015000,2782.660,8614.410,0.154,693.280,0.017,10250.66,0.000,1887.914,0.038
